event,cat
TUAN SYED RAMLI DAUGHTER'S WEDDING,wed
MAKMAL KAJIAN NILAI (VM LAB) KEMENTERIAN PERTAHANAN BAGI PROJEK PENYELENGGARAAN RUMAH KELUARGA ANGGOTA TENTERA (RKAT) / PENYELENGGARAAN KUATERS,smr
"BIRTHDAY BASH FOR JULY, AUG & SEPT ANDBEST EMPLOYEE OF THE MONTH AWARD FOR JULY & SEPTEMBER",smr
COURTESY CALL - TIMBALAN MENTERI PERTAHANAN BERSAMA TETAMU RASMI,smr
MESYUARAT KOORDINASI FORUM PERDANA HAL EHWAL ISLAM SEMPENA HARI ATM KE - 84,smr
PERSEMBAHAN RADAR PERTAHANAN UDARA JENIS RAWL-03 (PRODUK KOLABRASI SYARIKAT BHARAT ELECTRONICS LIMITED DAN SAAB),smr
PERBINCANGAN UNMANNED AERIAL SYSTEM PATROLLER KEPADA ATM,smr
MESYUARAT PACIFIC AIR FORCE (PACAF)-RMAF AIRMAN TO AIRMAN TALK (A2AT) 2019,smr
PERSEMBAHAN OLEH YWP NIAGA SDN BHD,smr
MESYUARAT BULANAN HOD WISMA PERWIRA ATM,smr
MESYUARAT PACIFIC AIR FORCE (PACAF)-RMAF AIRMAN TO AIRMAN TALK (A2AT) 2019,smr
PERSEMBAHAN HELIKOPTER SIKORSKY S70B-2 SEAHAWK,smr
MEETING RAFOC,smr
PERSEMBAHAN OLEH YWP NIAGA SDN BHD,smr
MAJLIS MAKAN MALAM SEMPENA AQIQAH CUCU (KOL KHAIRUDDIN),wed
KEMPEN TABUNG HARI PAHLAWAN BERSAMA PENGERUSI PERSATUAN VETERAN ATM CAWANGAN SELANGOR & WILAYAH PERSEKUTUAN,smr
MESYUARAT PENGURUSAN SENGGARAAN WP ATM,smr
MAJLIS MAKAN MALAM REJIMENTAL,smr
BENGKEL PEMANTAPAN PROTOCOL AUDIT KESIAPSIAGAAN TLDM,mmr
SENIOR OFFICERS QUARTERLY UPDATE,smr
FOOD TASTING MAJLIS PELANCARAN KEMPEN TABUNG PAHLAWAN 2019 PERINGKAT KEBANGSAAN,smr
BENGKEL PEMANTAPAN PROTOCOL AUDIT KESIAPSIAGAAN TLDM,smr
MESYUARAT PAKAR PEERUBATAN DALAMAN HAT TUANKU MIZAN,smr
PLATH SOLUTION FOR HF DFING & MONITORING FOR THE MI,smr
REGIMENTAL MESS NIGHT,mmr
PERSEMBAHAN GLASS COCKPIT SOLUTION UNTUK HELIKOPTER NURI,smr
MAJLIS MAKAN MALAM BERADAT REJIMETAL (MMR),mmr
MESYUARAT PEMBELIAN PESAWAT F-5 MILIK TUDM BILANGAN 3,smr
MAJLIS PELANCARAN KEMPEN TABUNG PAHLAWAN 2019,smr
SEMINAR LOGISTIK (PEGAWAI) BAHAGIAN KOMUNIKASI DAN ELEKTRONIK PERTAHANAN,smr
MAJLIS MAKAN TENGAHARI (MALAYSIA-CHINA)`,smr
SEMINAR LOGISTIK (PEGAWAI) BAHAGIAN KOMUNIKASI DAN ELEKTRONIK PERTAHANAN,smr
PERSEMBAHAN C-130H AVIONIC UPGRADE PROGRAMME 2(AUP 2),smr
PERBINCANGAN BERSAMA SYARIKAT MBDA SYSTEM,smr
MAJLIS MAKAN MALAM MESRA JURURAWAT HOSPITAL KUALA LUMPUR,smr
BENGKEL PEMANTAPAN SISTEM SENGGARAAN KAPAL (SSK) & PENGURUSAN ON BOARD SPARE LIST (OSL),smr
MESYUARAT EKESAIS BERSAMA WARRIOR 2020 ANTARA ATM MALAYSIA DAN AF UNITED STATE (USA) KALI KE-2 INNTIAL PLANNING CONFERENCE (IPC),smr
MESYUARAT EKESAIS BERSAMA WARRIOR 2020 ANTARA ATM MALAYSIA DAN AF UNITED STATE (USA) KALI KE-2 INNTIAL PLANNING CONFERENCE (IPC),smr
PERSEMBAHAN SYARIKAT PT JALAN SDN BHD,smr
MESYUARAT SEBUTHARGA PEMBAIKAN CHILLER,smr
SAPURA BOARD MEETING,smr
MESYUARAT KOORDINASI MAJLIS SANTAPAN BERADAT SEMPENA MEMULIAKAN KDYMM SPB YDP AGONG XVI DAN HARI ATM KE - 86,smr
MESYUARAT EKESAIS BERSAMA WARRIOR 2020 ANTARA ATM MALAYSIA DAN AF UNITED STATE (USA) KALI KE-2 INNTIAL PLANNING CONFERENCE (IPC),smr
PERSEMBAHAN PRODUK BERSAMA PIHAK MK AB,smr
PERBINCANGAN BERSAMA PIHAK BOUSTED NAVAL SHIPYARD SDN BHD (BNSSB),smr
SEMINAR PERTADBIRAN SISTEM C2 ATM 2019,smr
1ST ROYAL MALAYSIAN AIR FORCE (RMAF)-ROYAL NEW ZEALAND AIR FORCE(RNZAF) AIR STAFF TALKS (AST),smr
MESYUARAT EKESAIS BERSAMA WARRIOR 2020 ANTARA ATM MALAYSIA DAN AF UNITED STATE (USA) KALI KE-2 INNTIAL PLANNING CONFERENCE (IPC),smr
PERJUMPAAN TIMBALAN PANGLIMA TENTERA DARAT BERSAMA TETAMU RASMI,smr
SEMINAR PERTADBIRAN SISTEM C2 ATM 2019,smr
SEMINAR PERTADBIRAN SISTEM C2 ATM 2019,smr
PERSEMBAHAN PRODUK MU90 LEIGHTWEIGHT TORPEDO DAN 019-T UNDERWATER,smr
MESYUARAT KOORDINASI MAJLIS MERAIKAN MANTAN,smr
KAPT HJ CHE KHOLID NIECE'S WEDDING,wed
MEJ DATUK ISMAIL NEPHEW WEDDING,wed
CHIEF CIRCLE EXCO MEETING,smr
MESYUARAT KOORDINASI FORUM PERDANA HAL EHWAL ISLAM SEMPENA HARI ATM KE-86,smr
ARMED FORCES WAR COURSE (AFWC) BANGLADESH DEFENCE COLLEGE (NDC),smr
PERSEMBAHAN PRODUK BERKENAAN MULTI ROLE SUPPORT SHIP (MRSS) UNTUK TLDM,smr
